Canton,Municipality,Income tax canton,Income tax municipality,Postcode,,
ZH,adliswil,98.00,102.00,8134,adliswil,Adliswil
ZH,aesch ,98.00,91.00,8904,aesch ,Aesch 
ZH,aeugst am albis,98.00,92.00,8914,aeugst am albis,Aeugst am Albis
ZH,affoltern am albis,98.00,124.00,8910,affoltern am albis,Affoltern am Albis
ZH,altikon,98.00,114.00,8479,altikon,Altikon
ZH,andelfingen,98.00,114.00,8450,andelfingen,Andelfingen
ZH,bachenbülach,98.00,106.00,8184,bachenbülach,Bachenbülach
ZH,bachs,98.00,128.00,8164,bachs,Bachs
ZH,bassersdorf,98.00,114.00,8303,bassersdorf,Bassersdorf
ZH,bauma,98.00,120.00,8494,bauma,Bauma
ZH,benken ,98.00,110.00,8463,benken ,Benken 
ZH,berg am irchel,98.00,98.00,8415,berg am irchel,Berg am Irchel
ZH,birmensdorf ,98.00,112.00,8903,birmensdorf ,Birmensdorf 
ZH,bonstetten,98.00,110.00,8906,bonstetten,Bonstetten
ZH,boppelsen,98.00,94.00,8113,boppelsen,Boppelsen
ZH,brütten,98.00,89.00,8311,brütten,Brütten
ZH,bubikon,98.00,118.00,8608,bubikon,Bubikon
ZH,buch am irchel,98.00,106.00,8414,buch am irchel,Buch am Irchel
ZH,buchs ,98.00,105.00,8107,buchs ,Buchs 
ZH,bäretswil,98.00,106.00,8344,bäretswil,Bäretswil
ZH,bülach,98.00,110.00,8180,bülach,Bülach
ZH,dachsen,98.00,111.00,8447,dachsen,Dachsen
ZH,dielsdorf,98.00,105.00,8157,dielsdorf,Dielsdorf
ZH,dietikon,98.00,123.00,8953,dietikon,Dietikon
ZH,dietlikon,98.00,105.00,8305,dietlikon,Dietlikon
ZH,dinhard,98.00,83.00,8474,dinhard,Dinhard
ZH,dorf,98.00,104.00,8458,dorf,Dorf
ZH,dägerlen,98.00,105.00,8471,dägerlen,Dägerlen
ZH,dällikon,98.00,108.00,8108,dällikon,Dällikon
ZH,dänikon,98.00,122.00,8114,dänikon,Dänikon
ZH,dättlikon,98.00,116.00,8421,dättlikon,Dättlikon
ZH,dübendorf,98.00,96.00,8600,dübendorf,Dübendorf
ZH,dürnten,98.00,113.00,8635,dürnten,Dürnten
ZH,egg,98.00,101.00,8132,egg,Egg
ZH,eglisau,98.00,113.00,8193,eglisau,Eglisau
ZH,elgg,98.00,119.00,8353,elgg,Elgg
